typing_wpm,chars_per_min,avg_hold_ms,avg_flight_ms,error_rate,pause_count,avg_pause_ms,typing_variance,avg_cursor_speed,movement_distance,click_rate,double_click_rate,scroll_rate,idle_time_pct,avg_hover_ms,avg_acceleration,movement_smoothness,label
20,175,168.0,129.0,0.1201,4,1882.0,0.3318,187.0,1329.0,12.0,3.7051,13.9902,0.3818,556.0,0.0,0.4805,high
65,276,113.0,84.0,0.0196,2,792.0,0.0745,413.0,3786.0,9.0,1.5912,6.3202,0.0956,237.0,0.0,0.6932,low
62,282,85.0,93.0,0.0092,1,887.0,0.0892,393.0,2480.0,11.0,0.6851,4.6389,0.0918,299.0,0.0,0.8126,low
26,151,139.0,149.0,0.1087,8,2294.0,0.2712,136.0,567.0,18.0,1.9316,15.016,0.3309,605.0,0.0,0.3301,high
17,132,155.0,122.0,0.1457,8,1123.0,0.3051,153.0,920.0,9.0,4.6908,14.0469,0.3115,484.0,0.0,0.5097,high
45,190,102.0,128.0,0.0597,4,1098.0,0.1921,283.0,2317.0,17.0,2.3377,7.4689,0.1904,463.0,0.0,0.6656,medium
46,183,106.0,106.0,0.0643,3,1513.0,0.2188,185.0,2229.0,11.0,1.6754,8.8298,0.1767,357.0,0.0,0.7685,medium
32,173,149.0,152.0,0.1285,6,1632.0,0.3441,69.0,1210.0,16.0,4.0114,15.3785,0.3143,550.0,0.0,0.35,high
23,111,191.0,178.0,0.1104,6,2810.0,0.3058,206.0,1237.0,24.0,3.821,14.3212,0.3316,587.0,0.0,0.4407,high
23,127,174.0,170.0,0.1096,8,976.0,0.1978,191.0,1619.0,17.0,3.6277,11.2083,0.4068,600.0,0.0,0.3681,high
43,232,117.0,130.0,0.0614,5,940.0,0.17,187.0,2396.0,10.0,1.8644,11.8263,0.1195,357.0,0.0,0.5843,medium
40,141,157.0,139.0,0.1051,8,1734.0,0.2404,157.0,1252.0,14.0,3.5977,19.0417,0.3644,556.0,0.0,0.4144,high
26,87,115.0,129.0,0.165,4,1592.0,0.3411,158.0,1328.0,17.0,3.8683,13.9085,0.4583,649.0,0.0,0.4467,high
22,136,184.0,140.0,0.111,9,2118.0,0.377,179.0,997.0,27.0,3.8605,7.7994,0.3161,599.0,0.0,0.5208,high
55,339,80.0,94.0,0.027,1,919.0,0.07,469.0,3913.0,7.0,0.8917,3.9022,0.0584,372.0,0.0,0.8262,low
69,384,91.0,94.0,0.0085,2,917.0,0.0796,349.0,3291.0,7.0,0.8778,3.649,0.0725,299.0,0.0,0.8155,low
67,313,94.0,86.0,0.0257,2,642.0,0.0761,371.0,2917.0,12.0,0.1759,3.2693,0.0341,263.0,0.0,0.9019,low
47,198,146.0,88.0,0.0849,3,1410.0,0.1721,313.0,1655.0,14.0,1.6503,10.3988,0.2068,506.0,0.0,0.6031,medium
70,290,91.0,86.0,0.0064,1,1161.0,0.073,493.0,2256.0,9.0,0.7855,6.9152,0.0615,330.0,0.0,0.7739,low
71,296,75.0,80.0,0.0188,2,1071.0,0.0809,346.0,3341.0,9.0,1.1236,4.1338,0.0169,304.0,0.0,0.7115,low
40,206,118.0,109.0,0.0555,3,1705.0,0.2411,260.0,2163.0,15.0,1.8164,9.5114,0.2016,314.0,0.0,0.6142,medium
17,147,149.0,186.0,0.1366,8,2045.0,0.268,67.0,1296.0,16.0,2.5925,12.0134,0.3318,790.0,0.0,0.3367,high
15,130,144.0,152.0,0.053,5,1493.0,0.3204,156.0,957.0,20.0,2.6775,14.2559,0.4206,513.0,0.0,0.3526,high
31,142,127.0,140.0,0.0488,6,1602.0,0.3338,130.0,1157.0,15.0,2.6884,16.1219,0.4085,611.0,0.0,0.583,high
58,310,99.0,92.0,0.015,1,792.0,0.0753,421.0,3852.0,11.0,0.99,3.1841,0.0664,260.0,0.0,0.842,low
18,170,150.0,145.0,0.1061,6,1984.0,0.2654,258.0,615.0,13.0,2.2116,13.7359,0.2202,653.0,0.0,0.3216,high
65,328,108.0,75.0,0.0199,1,537.0,0.036,428.0,3274.0,9.0,1.0548,7.2174,0.0594,212.0,0.0,0.8302,low
76,303,106.0,86.0,0.0201,0,818.0,0.0949,385.0,2559.0,5.0,1.3458,3.7706,0.0735,176.0,0.0,0.8585,low
25,134,160.0,117.0,0.1296,10,2564.0,0.3177,151.0,775.0,18.0,3.1851,11.6528,0.268,729.0,0.0,0.525,high
68,290,87.0,75.0,0.0201,1,731.0,0.074,485.0,3027.0,8.0,1.0083,4.1817,0.063,267.0,0.0,0.9317,low
22,120,163.0,131.0,0.1227,4,1393.0,0.4001,152.0,1038.0,24.0,4.7069,15.332,0.3092,738.0,0.0,0.3533,high
37,233,119.0,114.0,0.0656,3,1266.0,0.2072,228.0,2137.0,9.0,1.464,11.6835,0.1872,464.0,0.0,0.5023,medium
49,347,93.0,66.0,0.0262,1,663.0,0.0696,396.0,3219.0,10.0,1.0031,3.3871,0.081,237.0,0.0,0.7744,low
25,116,149.0,120.0,0.0386,4,1800.0,0.3063,130.0,910.0,22.0,2.3627,12.6628,0.412,644.0,0.0,0.402,high
39,239,105.0,65.0,0.0445,4,1346.0,0.2075,348.0,1987.0,10.0,1.4318,6.9394,0.1364,441.0,0.0,0.6127,medium
57,235,103.0,99.0,0.0118,1,876.0,0.0531,465.0,3394.0,6.0,1.0513,6.4367,0.0763,240.0,0.0,0.7413,low
63,318,92.0,61.0,0.0181,2,961.0,0.0793,437.0,3623.0,6.0,1.0791,5.8308,0.0274,280.0,0.0,0.9187,low
52,220,105.0,134.0,0.0685,4,1419.0,0.2395,276.0,1890.0,9.0,1.2116,14.4587,0.2328,528.0,0.0,0.6574,medium
33,93,137.0,128.0,0.1226,7,2434.0,0.1686,149.0,1132.0,15.0,4.3381,13.9586,0.3571,621.0,0.0,0.2423,high
56,178,127.0,117.0,0.0513,3,1152.0,0.2103,285.0,2589.0,12.0,2.2949,9.0453,0.1757,421.0,0.0,0.6587,medium
46,208,124.0,111.0,0.0652,2,1593.0,0.2337,306.0,2259.0,11.0,2.9262,7.5257,0.2308,351.0,0.0,0.6372,medium
23,179,189.0,161.0,0.1251,9,1976.0,0.2671,183.0,937.0,22.0,2.792,12.0655,0.323,552.0,0.0,0.3787,high
64,274,101.0,58.0,0.0,1,950.0,0.0762,277.0,3660.0,7.0,0.8328,5.9822,0.0737,232.0,0.0,0.7806,low
35,210,149.0,83.0,0.0614,5,855.0,0.2264,237.0,2458.0,12.0,2.199,7.9824,0.195,480.0,0.0,0.6509,medium
44,256,100.0,113.0,0.0672,3,1480.0,0.185,310.0,1732.0,13.0,2.2066,6.8373,0.194,535.0,0.0,0.7351,medium
51,213,137.0,102.0,0.0543,4,1251.0,0.1905,333.0,2626.0,10.0,1.7506,9.8512,0.0811,401.0,0.0,0.5783,medium
61,223,102.0,133.0,0.047,4,1227.0,0.1516,228.0,2371.0,14.0,2.7446,7.713,0.0798,442.0,0.0,0.7079,medium
70,360,88.0,86.0,0.0239,1,704.0,0.0487,447.0,2916.0,9.0,0.5897,4.5415,0.0391,435.0,0.0,0.8462,low
52,231,140.0,94.0,0.0644,3,1288.0,0.282,303.0,1809.0,13.0,0.7407,11.0527,0.1413,304.0,0.0,0.5798,medium
22,145,123.0,170.0,0.1183,7,2356.0,0.338,184.0,1339.0,16.0,2.5263,11.7042,0.4015,666.0,0.0,0.4614,high
57,243,135.0,95.0,0.0385,4,942.0,0.1693,274.0,1916.0,11.0,2.177,9.4634,0.1716,360.0,0.0,0.646,medium
59,318,81.0,58.0,0.0256,0,908.0,0.0974,541.0,2814.0,12.0,0.848,4.8246,0.0628,261.0,0.0,0.839,low
42,215,106.0,104.0,0.0596,4,1405.0,0.1814,241.0,1243.0,12.0,3.0687,9.9868,0.1656,439.0,0.0,0.7051,medium
63,308,110.0,77.0,0.0196,2,1004.0,0.0722,302.0,3118.0,10.0,0.4299,3.715,0.0659,290.0,0.0,0.8118,low
65,312,89.0,78.0,0.0235,1,517.0,0.0639,385.0,3363.0,7.0,0.4791,5.1498,0.0416,206.0,0.0,0.8213,low
73,291,96.0,86.0,0.0086,0,908.0,0.1214,478.0,2991.0,10.0,1.1065,6.5827,0.0659,289.0,0.0,0.6937,low
47,182,124.0,106.0,0.067,4,1307.0,0.1671,295.0,2354.0,8.0,2.2313,10.3492,0.214,345.0,0.0,0.6362,medium
33,162,126.0,157.0,0.1415,7,1856.0,0.253,99.0,1373.0,21.0,3.3014,13.3212,0.3622,696.0,0.0,0.4866,high
71,280,107.0,90.0,0.0342,0,472.0,0.197,297.0,2657.0,10.0,2.014,3.3388,0.0496,284.0,0.0,0.7555,low
25,99,147.0,165.0,0.1257,10,1911.0,0.2913,183.0,933.0,15.0,1.0812,11.2325,0.4441,525.0,0.0,0.3264,high
48,199,136.0,95.0,0.0592,4,1719.0,0.224,363.0,1637.0,12.0,1.4481,8.1122,0.169,344.0,0.0,0.7197,medium
74,287,102.0,96.0,0.0108,1,958.0,0.0867,257.0,3169.0,4.0,1.4279,3.3111,0.1003,345.0,0.0,0.8797,low
36,186,119.0,105.0,0.0299,2,1583.0,0.2029,329.0,2052.0,12.0,0.9535,9.5507,0.2289,336.0,0.0,0.6784,medium
24,89,152.0,177.0,0.1214,7,1152.0,0.2236,87.0,1402.0,10.0,1.915,6.7469,0.3173,654.0,0.0,0.4348,high
37,249,117.0,126.0,0.0537,5,1722.0,0.1906,330.0,2438.0,12.0,1.8107,8.0156,0.1834,470.0,0.0,0.6498,medium
43,234,125.0,91.0,0.055,3,1141.0,0.1905,242.0,1999.0,8.0,1.8395,11.1033,0.1907,417.0,0.0,0.6167,medium
31,118,154.0,146.0,0.1271,8,1611.0,0.2987,153.0,1183.0,21.0,2.2216,10.6849,0.2353,862.0,0.0,0.5368,high
40,237,119.0,115.0,0.0497,5,1411.0,0.213,373.0,1624.0,14.0,2.4424,9.7942,0.1684,522.0,0.0,0.6826,medium
39,214,101.0,111.0,0.042,3,1358.0,0.1866,247.0,2253.0,11.0,1.6218,9.21,0.2026,448.0,0.0,0.5848,medium
31,123,166.0,145.0,0.1385,7,1655.0,0.2162,162.0,528.0,11.0,2.7167,8.3092,0.3244,548.0,0.0,0.4839,high
26,98,136.0,173.0,0.1244,6,1574.0,0.1639,167.0,1769.0,14.0,3.1927,15.5223,0.3071,730.0,0.0,0.4877,high
39,104,184.0,166.0,0.0846,7,2026.0,0.2712,204.0,1280.0,15.0,3.2883,16.6784,0.4132,577.0,0.0,0.3582,high
27,149,185.0,130.0,0.0741,7,1860.0,0.2678,180.0,1599.0,18.0,2.662,18.3477,0.2528,552.0,0.0,0.3542,high
28,134,170.0,193.0,0.1145,7,1943.0,0.395,184.0,1330.0,18.0,3.1475,13.3274,0.3311,349.0,0.0,0.2812,high
41,241,116.0,120.0,0.056,3,1524.0,0.1419,416.0,2236.0,18.0,1.7296,10.1084,0.1924,428.0,0.0,0.5442,medium
60,304,98.0,94.0,0.011,1,700.0,0.1089,400.0,2616.0,9.0,0.8285,5.9746,0.0871,228.0,0.0,0.8071,low
43,265,133.0,97.0,0.0529,3,1397.0,0.1562,310.0,1850.0,11.0,1.7402,10.4962,0.1694,631.0,0.0,0.7486,medium
39,186,103.0,91.0,0.079,3,1432.0,0.2241,312.0,2082.0,12.0,2.0189,8.499,0.1573,379.0,0.0,0.6954,medium
25,132,147.0,143.0,0.0977,6,1695.0,0.2339,131.0,1502.0,21.0,2.7689,8.8427,0.3231,488.0,0.0,0.2958,high
58,313,89.0,87.0,0.0094,2,1008.0,0.1088,452.0,2602.0,11.0,1.0653,6.1733,0.0797,313.0,0.0,0.7202,low
43,207,152.0,87.0,0.0468,3,1156.0,0.2105,273.0,2098.0,6.0,1.8609,6.857,0.1815,409.0,0.0,0.755,medium
53,260,98.0,100.0,0.0318,4,1725.0,0.1975,285.0,2541.0,16.0,0.7907,8.857,0.0987,194.0,0.0,0.7091,medium
48,259,120.0,84.0,0.0549,2,1691.0,0.161,281.0,2335.0,11.0,2.2644,9.9262,0.1948,533.0,0.0,0.5956,medium
69,329,96.0,93.0,0.0159,1,597.0,0.0395,416.0,2789.0,6.0,1.5823,5.7859,0.0646,319.0,0.0,0.8711,low
17,138,151.0,155.0,0.0989,8,1845.0,0.3981,123.0,997.0,13.0,2.5549,16.4027,0.2844,764.0,0.0,0.4084,high
36,231,131.0,110.0,0.0445,4,1447.0,0.2577,393.0,3015.0,13.0,1.9288,8.7554,0.0995,457.0,0.0,0.7033,medium
33,135,197.0,141.0,0.115,7,2301.0,0.3425,181.0,1254.0,24.0,3.0228,15.996,0.2764,811.0,0.0,0.3807,high
42,273,132.0,86.0,0.0734,2,1590.0,0.1631,231.0,2341.0,11.0,1.152,8.1715,0.1698,523.0,0.0,0.6392,medium
52,283,99.0,94.0,0.0399,4,1213.0,0.2319,237.0,2254.0,16.0,2.2302,7.1901,0.1537,452.0,0.0,0.646,medium
42,177,136.0,102.0,0.0449,3,1683.0,0.2096,348.0,2136.0,12.0,1.6931,6.7877,0.1434,472.0,0.0,0.662,medium
37,219,106.0,109.0,0.0679,3,854.0,0.2013,322.0,2171.0,10.0,2.0307,9.643,0.2082,385.0,0.0,0.7147,medium
31,204,116.0,116.0,0.0492,3,1222.0,0.1743,273.0,1136.0,9.0,1.7227,5.495,0.0971,441.0,0.0,0.6953,medium
35,125,128.0,168.0,0.0713,5,2421.0,0.2969,112.0,1521.0,18.0,2.231,11.4124,0.3752,591.0,0.0,0.3322,high
51,307,97.0,82.0,0.0101,1,796.0,0.0578,381.0,3749.0,10.0,1.4623,5.4583,0.0628,268.0,0.0,0.7666,low
30,118,195.0,154.0,0.116,10,1886.0,0.2734,174.0,633.0,17.0,2.5485,11.1009,0.3205,479.0,0.0,0.4178,high
33,112,161.0,171.0,0.1287,7,2725.0,0.3666,145.0,1314.0,13.0,4.6797,9.3721,0.3669,680.0,0.0,0.3735,high
33,149,165.0,128.0,0.1046,6,1678.0,0.2453,182.0,1002.0,19.0,2.2401,10.6217,0.3256,676.0,0.0,0.3393,high
65,345,71.0,70.0,0.0017,2,930.0,0.0926,486.0,3226.0,9.0,0.5614,4.3559,0.0665,327.0,0.0,0.7557,low
38,236,108.0,90.0,0.0587,5,1391.0,0.205,255.0,2191.0,8.0,2.2234,10.9366,0.1556,473.0,0.0,0.4951,medium
55,211,146.0,127.0,0.0517,3,1514.0,0.1749,270.0,2897.0,11.0,2.0174,9.3775,0.101,478.0,0.0,0.63,medium
13,131,137.0,106.0,0.1138,5,2341.0,0.3462,120.0,1286.0,16.0,2.2692,15.0221,0.3452,759.0,0.0,0.4058,high
43,220,88.0,86.0,0.0593,2,1411.0,0.2068,275.0,2594.0,14.0,2.2911,8.1383,0.1637,240.0,0.0,0.7427,medium
45,368,95.0,80.0,0.0257,1,688.0,0.0766,394.0,2841.0,10.0,0.9586,4.1734,0.0862,295.0,0.0,0.9065,low
46,221,142.0,89.0,0.0757,2,1721.0,0.0904,222.0,1236.0,17.0,2.7383,10.0607,0.2301,459.0,0.0,0.5939,medium
53,270,71.0,80.0,0.0127,1,937.0,0.0755,450.0,2466.0,9.0,0.8199,6.9215,0.0793,290.0,0.0,0.8198,low
49,263,131.0,126.0,0.0677,4,1388.0,0.172,249.0,1894.0,13.0,2.0845,9.5279,0.1637,395.0,0.0,0.724,medium
23,95,158.0,121.0,0.1356,9,1995.0,0.3856,184.0,1059.0,19.0,4.2804,14.5639,0.3694,794.0,0.0,0.4754,high
64,348,79.0,72.0,0.0208,1,582.0,0.1088,517.0,2900.0,8.0,0.9253,3.5226,0.0299,274.0,0.0,0.8113,low
13,144,132.0,170.0,0.1214,6,3018.0,0.3745,194.0,1343.0,18.0,3.7902,15.8405,0.3884,677.0,0.0,0.3432,high
15,67,207.0,176.0,0.0853,6,2622.0,0.3414,181.0,1008.0,10.0,2.8807,14.391,0.3811,759.0,0.0,0.3726,high
51,225,133.0,110.0,0.079,4,1102.0,0.1776,277.0,2743.0,10.0,1.6776,12.3842,0.1731,396.0,0.0,0.5699,medium
41,230,122.0,130.0,0.0663,4,1351.0,0.2049,226.0,2212.0,16.0,2.9997,7.3268,0.2002,566.0,0.0,0.7332,medium
40,195,147.0,110.0,0.0534,4,1418.0,0.1892,284.0,1408.0,14.0,1.9106,13.0796,0.1535,437.0,0.0,0.6492,medium
27,145,182.0,148.0,0.108,7,2723.0,0.2761,127.0,1101.0,12.0,3.3551,11.7908,0.3482,762.0,0.0,0.4062,high
19,92,154.0,168.0,0.083,5,2145.0,0.3095,159.0,1288.0,13.0,3.7704,16.2614,0.272,543.0,0.0,0.4204,high
61,303,96.0,73.0,0.005,2,589.0,0.0794,446.0,2829.0,8.0,1.0502,2.5306,0.0715,240.0,0.0,0.8458,low
14,110,170.0,174.0,0.1199,6,1975.0,0.3043,114.0,1092.0,14.0,2.9412,12.9157,0.244,670.0,0.0,0.3334,high
29,135,172.0,125.0,0.1167,7,1675.0,0.2864,73.0,953.0,20.0,3.5308,4.8642,0.3193,529.0,0.0,0.5713,high
18,117,145.0,169.0,0.0815,9,1599.0,0.3523,216.0,890.0,20.0,3.1937,10.8596,0.3316,670.0,0.0,0.4959,high
26,116,131.0,151.0,0.1067,6,2251.0,0.3809,62.0,1029.0,16.0,2.7667,16.6542,0.4334,635.0,0.0,0.4576,high
24,105,141.0,193.0,0.1301,4,2383.0,0.384,127.0,1217.0,18.0,3.5087,16.0882,0.2937,660.0,0.0,0.3997,high
46,268,141.0,103.0,0.0541,3,2038.0,0.1732,283.0,2958.0,17.0,2.3606,12.2178,0.1823,437.0,0.0,0.7456,medium
33,165,153.0,145.0,0.096,5,2512.0,0.3942,121.0,1000.0,17.0,3.7983,13.7487,0.2732,614.0,0.0,0.4341,high
27,91,95.0,92.0,0.1492,8,1868.0,0.394,148.0,1245.0,11.0,1.8079,15.3977,0.4195,611.0,0.0,0.2319,high
69,315,100.0,86.0,0.02,0,501.0,0.0694,464.0,3618.0,9.0,1.0928,4.7819,0.0765,312.0,0.0,0.7094,low
53,333,107.0,78.0,0.0274,1,993.0,0.084,460.0,3527.0,7.0,1.4316,2.2394,0.0655,332.0,0.0,0.7969,low
35,201,127.0,96.0,0.0714,3,1284.0,0.1779,278.0,2038.0,10.0,2.4181,8.3434,0.1765,421.0,0.0,0.6082,medium
15,172,195.0,181.0,0.1574,6,1941.0,0.3777,229.0,1003.0,23.0,3.4643,5.2218,0.2033,547.0,0.0,0.6624,high
39,219,119.0,93.0,0.059,2,767.0,0.122,264.0,1942.0,12.0,2.0922,7.5458,0.13,339.0,0.0,0.5576,medium
75,370,102.0,75.0,0.0172,2,814.0,0.0331,453.0,3436.0,5.0,0.5997,5.1638,0.0912,254.0,0.0,0.8108,low
38,122,181.0,160.0,0.0806,7,1961.0,0.3684,96.0,928.0,22.0,3.4315,15.0019,0.2988,547.0,0.0,0.2878,high
62,296,104.0,67.0,0.0101,2,745.0,0.0625,436.0,2897.0,6.0,0.746,2.6912,0.0529,347.0,0.0,0.7886,low
69,293,102.0,85.0,0.0256,1,816.0,0.1152,384.0,3106.0,9.0,0.5985,2.9934,0.0535,289.0,0.0,0.8267,low
22,156,140.0,185.0,0.1724,6,1927.0,0.3089,159.0,947.0,25.0,3.554,13.8985,0.2698,601.0,0.0,0.3052,high
45,207,94.0,115.0,0.0525,4,1494.0,0.192,326.0,2340.0,11.0,1.3089,11.8227,0.0941,368.0,0.0,0.558,medium
17,163,176.0,134.0,0.1179,7,2913.0,0.372,179.0,971.0,26.0,3.7717,12.7264,0.2904,586.0,0.0,0.5352,high
25,161,151.0,144.0,0.0852,8,2501.0,0.3048,165.0,1078.0,29.0,4.0339,14.1268,0.2932,534.0,0.0,0.5275,high
42,210,115.0,102.0,0.0415,5,1206.0,0.1713,260.0,1817.0,7.0,2.344,9.4971,0.1762,405.0,0.0,0.4844,medium
28,127,146.0,151.0,0.1176,9,1869.0,0.2361,195.0,1216.0,19.0,3.3594,11.161,0.4283,537.0,0.0,0.2975,high
23,135,148.0,124.0,0.1384,8,1247.0,0.3752,202.0,1328.0,19.0,3.809,15.6014,0.3459,559.0,0.0,0.5394,high
53,209,95.0,118.0,0.0391,4,1260.0,0.1764,334.0,2192.0,7.0,1.5975,8.7456,0.2112,417.0,0.0,0.5852,medium
54,228,123.0,96.0,0.054,4,1329.0,0.1386,327.0,2765.0,8.0,2.0349,9.3138,0.1246,341.0,0.0,0.5824,medium
