typing_wpm,avg_hold_ms,avg_flight_ms,error_rate,pause_count,avg_pause_ms,typing_variance,chars_per_min,avg_cursor_speed,click_rate,double_click_rate,scroll_rate,idle_time_pct,avg_hover_ms,movement_distance,movement_smoothness,label
40,125,102,0.066,4,1766,0.1792,147,383,12,1.2895,6.442,0.1873,513,1610,0.6441,medium
43,115,101,0.0229,6,1148,0.1757,225,264,10,1.7608,7.0705,0.1374,367,2107,0.7218,medium
67,95,87,0.0197,1,875,0.095,296,435,6,1.1543,6.0736,0.0309,228,3464,0.9207,low
44,123,78,0.0616,4,1572,0.2076,218,313,13,2.3057,9.5371,0.1783,548,2668,0.75,medium
58,108,87,0.029,0,609,0.102,362,401,10,1.101,6.6243,0.0677,162,3017,0.8707,low
58,98,94,0.0128,1,981,0.1177,354,448,7,1.6191,3.9807,0.0907,303,3522,0.7587,low
29,166,154,0.0929,7,1543,0.2739,140,204,22,1.6568,10.0296,0.4125,660,1227,0.4617,high
52,138,77,0.0383,4,913,0.1626,187,340,7,1.3498,8.6981,0.2762,386,1685,0.6873,medium
59,102,90,0.0212,1,975,0.0418,306,504,9,0.6216,2.1249,0.0899,314,3612,0.8357,low
30,133,107,0.0463,3,1077,0.2213,179,243,8,1.888,7.2454,0.1448,489,2491,0.6448,medium
55,70,91,0.0206,1,832,0.0758,291,379,10,1.3142,3.8569,0.0721,279,2997,0.7978,low
64,68,107,0.0,2,200,0.0485,270,450,7,0.0,5.6722,0.0896,335,2981,0.8227,low
40,139,93,0.0537,3,1151,0.2086,184,307,9,2.7297,5.9129,0.1852,434,2548,0.7238,medium
49,109,97,0.0528,3,1272,0.2641,184,333,16,2.5757,7.8584,0.2156,512,2255,0.6322,medium
65,86,67,0.0124,0,448,0.0582,323,442,10,0.5995,4.4007,0.0712,398,3068,0.8435,low
43,124,116,0.0623,2,1317,0.1339,218,268,17,2.0253,6.2708,0.1424,506,1924,0.7152,medium
28,134,112,0.0868,2,1346,0.2102,211,274,16,0.9498,12.3005,0.1986,512,2123,0.6851,medium
67,86,73,0.0192,0,1035,0.0753,298,437,8,0.754,4.4869,0.0795,279,3326,0.8335,low
49,113,110,0.0291,5,1299,0.1982,253,220,11,2.1112,9.9968,0.1711,444,2411,0.6117,medium
37,114,87,0.0536,4,1557,0.22,216,327,9,1.8962,10.343,0.1667,346,2096,0.785,medium
25,124,131,0.1095,7,1253,0.2593,97,170,17,2.5515,17.5726,0.3192,571,705,0.5208,high
55,93,95,0.0122,0,619,0.0767,324,390,3,0.435,4.0848,0.0568,268,2558,0.7553,low
57,91,92,0.0185,1,807,0.0944,291,490,10,0.8704,4.0694,0.0632,275,3504,0.7779,low
31,143,109,0.0449,4,1765,0.2283,202,255,11,1.6436,8.6396,0.1883,504,2418,0.6535,medium
71,72,72,0.0202,1,761,0.0912,371,424,8,1.2605,4.7836,0.0774,294,3317,0.7953,low
16,137,123,0.1122,6,2315,0.3688,141,212,20,2.146,13.8542,0.2655,406,1617,0.3253,high
59,106,108,0.059,4,1423,0.1656,227,338,7,1.6036,8.7421,0.2072,327,2407,0.5944,medium
20,168,129,0.1201,4,1882,0.3318,175,187,12,3.7051,13.9902,0.3818,556,1329,0.4805,high
65,113,84,0.0196,2,792,0.0745,276,413,9,1.5912,6.3202,0.0956,237,3786,0.6932,low
62,85,93,0.0092,1,887,0.0892,282,393,11,0.6851,4.6389,0.0918,299,2480,0.8126,low
26,139,149,0.1087,8,2294,0.2712,151,136,18,1.9316,15.016,0.3309,605,567,0.3301,high
17,155,122,0.1457,8,1123,0.3051,132,153,9,4.6908,14.0469,0.3115,484,920,0.5097,high
45,102,128,0.0597,4,1098,0.1921,190,283,17,2.3377,7.4689,0.1904,463,2317,0.6656,medium
46,106,106,0.0643,3,1513,0.2188,183,185,11,1.6754,8.8298,0.1767,357,2229,0.7685,medium
32,149,152,0.1285,6,1632,0.3441,173,69,16,4.0114,15.3785,0.3143,550,1210,0.35,high
23,191,178,0.1104,6,2810,0.3058,111,206,24,3.821,14.3212,0.3316,587,1237,0.4407,high
23,174,170,0.1096,8,976,0.1978,127,191,17,3.6277,11.2083,0.4068,600,1619,0.3681,high
43,117,130,0.0614,5,940,0.17,232,187,10,1.8644,11.8263,0.1195,357,2396,0.5843,medium
40,157,139,0.1051,8,1734,0.2404,141,157,14,3.5977,19.0417,0.3644,556,1252,0.4144,high
26,115,129,0.165,4,1592,0.3411,87,158,17,3.8683,13.9085,0.4583,649,1328,0.4467,high
22,184,140,0.111,9,2118,0.377,136,179,27,3.8605,7.7994,0.3161,599,997,0.5208,high
55,80,94,0.027,1,919,0.07,339,469,7,0.8917,3.9022,0.0584,372,3913,0.8262,low
69,91,94,0.0085,2,917,0.0796,384,349,7,0.8778,3.649,0.0725,299,3291,0.8155,low
67,94,86,0.0257,2,642,0.0761,313,371,12,0.1759,3.2693,0.0341,263,2917,0.9019,low
47,146,88,0.0849,3,1410,0.1721,198,313,14,1.6503,10.3988,0.2068,506,1655,0.6031,medium
70,91,86,0.0064,1,1161,0.073,290,493,9,0.7855,6.9152,0.0615,330,2256,0.7739,low
71,75,80,0.0188,2,1071,0.0809,296,346,9,1.1236,4.1338,0.0169,304,3341,0.7115,low
40,118,109,0.0555,3,1705,0.2411,206,260,15,1.8164,9.5114,0.2016,314,2163,0.6142,medium
17,149,186,0.1366,8,2045,0.268,147,67,16,2.5925,12.0134,0.3318,790,1296,0.3367,high
15,144,152,0.053,5,1493,0.3204,130,156,20,2.6775,14.2559,0.4206,513,957,0.3526,high
31,127,140,0.0488,6,1602,0.3338,142,130,15,2.6884,16.1219,0.4085,611,1157,0.583,high
58,99,92,0.015,1,792,0.0753,310,421,11,0.99,3.1841,0.0664,260,3852,0.842,low
18,150,145,0.1061,6,1984,0.2654,170,258,13,2.2116,13.7359,0.2202,653,615,0.3216,high
65,108,75,0.0199,1,537,0.036,328,428,9,1.0548,7.2174,0.0594,212,3274,0.8302,low
76,106,86,0.0201,0,818,0.0949,303,385,5,1.3458,3.7706,0.0735,176,2559,0.8585,low
25,160,117,0.1296,10,2564,0.3177,134,151,18,3.1851,11.6528,0.268,729,775,0.525,high
68,87,75,0.0201,1,731,0.074,290,485,8,1.0083,4.1817,0.063,267,3027,0.9317,low
22,163,131,0.1227,4,1393,0.4001,120,152,24,4.7069,15.332,0.3092,738,1038,0.3533,high
37,119,114,0.0656,3,1266,0.2072,233,228,9,1.464,11.6835,0.1872,464,2137,0.5023,medium
49,93,66,0.0262,1,663,0.0696,347,396,10,1.0031,3.3871,0.081,237,3219,0.7744,low
25,149,120,0.0386,4,1800,0.3063,116,130,22,2.3627,12.6628,0.412,644,910,0.402,high
39,105,65,0.0445,4,1346,0.2075,239,348,10,1.4318,6.9394,0.1364,441,1987,0.6127,medium
57,103,99,0.0118,1,876,0.0531,235,465,6,1.0513,6.4367,0.0763,240,3394,0.7413,low
63,92,61,0.0181,2,961,0.0793,318,437,6,1.0791,5.8308,0.0274,280,3623,0.9187,low
52,105,134,0.0685,4,1419,0.2395,220,276,9,1.2116,14.4587,0.2328,528,1890,0.6574,medium
33,137,128,0.1226,7,2434,0.1686,93,149,15,4.3381,13.9586,0.3571,621,1132,0.2423,high
56,127,117,0.0513,3,1152,0.2103,178,285,12,2.2949,9.0453,0.1757,421,2589,0.6587,medium
46,124,111,0.0652,2,1593,0.2337,208,306,11,2.9262,7.5257,0.2308,351,2259,0.6372,medium
23,189,161,0.1251,9,1976,0.2671,179,183,22,2.792,12.0655,0.323,552,937,0.3787,high
64,101,58,0.0,1,950,0.0762,274,277,7,0.8328,5.9822,0.0737,232,3660,0.7806,low
35,149,83,0.0614,5,855,0.2264,210,237,12,2.199,7.9824,0.195,480,2458,0.6509,medium
44,100,113,0.0672,3,1480,0.185,256,310,13,2.2066,6.8373,0.194,535,1732,0.7351,medium
51,137,102,0.0543,4,1251,0.1905,213,333,10,1.7506,9.8512,0.0811,401,2626,0.5783,medium
61,102,133,0.047,4,1227,0.1516,223,228,14,2.7446,7.713,0.0798,442,2371,0.7079,medium
70,88,86,0.0239,1,704,0.0487,360,447,9,0.5897,4.5415,0.0391,435,2916,0.8462,low
52,140,94,0.0644,3,1288,0.282,231,303,13,0.7407,11.0527,0.1413,304,1809,0.5798,medium
22,123,170,0.1183,7,2356,0.338,145,184,16,2.5263,11.7042,0.4015,666,1339,0.4614,high
57,135,95,0.0385,4,942,0.1693,243,274,11,2.177,9.4634,0.1716,360,1916,0.646,medium
59,81,58,0.0256,0,908,0.0974,318,541,12,0.848,4.8246,0.0628,261,2814,0.839,low
42,106,104,0.0596,4,1405,0.1814,215,241,12,3.0687,9.9868,0.1656,439,1243,0.7051,medium
63,110,77,0.0196,2,1004,0.0722,308,302,10,0.4299,3.715,0.0659,290,3118,0.8118,low
65,89,78,0.0235,1,517,0.0639,312,385,7,0.4791,5.1498,0.0416,206,3363,0.8213,low
73,96,86,0.0086,0,908,0.1214,291,478,10,1.1065,6.5827,0.0659,289,2991,0.6937,low
47,124,106,0.067,4,1307,0.1671,182,295,8,2.2313,10.3492,0.214,345,2354,0.6362,medium
33,126,157,0.1415,7,1856,0.253,162,99,21,3.3014,13.3212,0.3622,696,1373,0.4866,high
71,107,90,0.0342,0,472,0.197,280,297,10,2.014,3.3388,0.0496,284,2657,0.7555,low
25,147,165,0.1257,10,1911,0.2913,99,183,15,1.0812,11.2325,0.4441,525,933,0.3264,high
48,136,95,0.0592,4,1719,0.224,199,363,12,1.4481,8.1122,0.169,344,1637,0.7197,medium
74,102,96,0.0108,1,958,0.0867,287,257,4,1.4279,3.3111,0.1003,345,3169,0.8797,low
36,119,105,0.0299,2,1583,0.2029,186,329,12,0.9535,9.5507,0.2289,336,2052,0.6784,medium
24,152,177,0.1214,7,1152,0.2236,89,87,10,1.915,6.7469,0.3173,654,1402,0.4348,high
37,117,126,0.0537,5,1722,0.1906,249,330,12,1.8107,8.0156,0.1834,470,2438,0.6498,medium
43,125,91,0.055,3,1141,0.1905,234,242,8,1.8395,11.1033,0.1907,417,1999,0.6167,medium
31,154,146,0.1271,8,1611,0.2987,118,153,21,2.2216,10.6849,0.2353,862,1183,0.5368,high
40,119,115,0.0497,5,1411,0.213,237,373,14,2.4424,9.7942,0.1684,522,1624,0.6826,medium
39,101,111,0.042,3,1358,0.1866,214,247,11,1.6218,9.21,0.2026,448,2253,0.5848,medium
31,166,145,0.1385,7,1655,0.2162,123,162,11,2.7167,8.3092,0.3244,548,528,0.4839,high
26,136,173,0.1244,6,1574,0.1639,98,167,14,3.1927,15.5223,0.3071,730,1769,0.4877,high
39,184,166,0.0846,7,2026,0.2712,104,204,15,3.2883,16.6784,0.4132,577,1280,0.3582,high
27,185,130,0.0741,7,1860,0.2678,149,180,18,2.662,18.3477,0.2528,552,1599,0.3542,high
28,170,193,0.1145,7,1943,0.395,134,184,18,3.1475,13.3274,0.3311,349,1330,0.2812,high
41,116,120,0.056,3,1524,0.1419,241,416,18,1.7296,10.1084,0.1924,428,2236,0.5442,medium
60,98,94,0.011,1,700,0.1089,304,400,9,0.8285,5.9746,0.0871,228,2616,0.8071,low
43,133,97,0.0529,3,1397,0.1562,265,310,11,1.7402,10.4962,0.1694,631,1850,0.7486,medium
39,103,91,0.079,3,1432,0.2241,186,312,12,2.0189,8.499,0.1573,379,2082,0.6954,medium
25,147,143,0.0977,6,1695,0.2339,132,131,21,2.7689,8.8427,0.3231,488,1502,0.2958,high
58,89,87,0.0094,2,1008,0.1088,313,452,11,1.0653,6.1733,0.0797,313,2602,0.7202,low
43,152,87,0.0468,3,1156,0.2105,207,273,6,1.8609,6.857,0.1815,409,2098,0.755,medium
53,98,100,0.0318,4,1725,0.1975,260,285,16,0.7907,8.857,0.0987,194,2541,0.7091,medium
48,120,84,0.0549,2,1691,0.161,259,281,11,2.2644,9.9262,0.1948,533,2335,0.5956,medium
69,96,93,0.0159,1,597,0.0395,329,416,6,1.5823,5.7859,0.0646,319,2789,0.8711,low
17,151,155,0.0989,8,1845,0.3981,138,123,13,2.5549,16.4027,0.2844,764,997,0.4084,high
36,131,110,0.0445,4,1447,0.2577,231,393,13,1.9288,8.7554,0.0995,457,3015,0.7033,medium
33,197,141,0.115,7,2301,0.3425,135,181,24,3.0228,15.996,0.2764,811,1254,0.3807,high
42,132,86,0.0734,2,1590,0.1631,273,231,11,1.152,8.1715,0.1698,523,2341,0.6392,medium
52,99,94,0.0399,4,1213,0.2319,283,237,16,2.2302,7.1901,0.1537,452,2254,0.646,medium
42,136,102,0.0449,3,1683,0.2096,177,348,12,1.6931,6.7877,0.1434,472,2136,0.662,medium
37,106,109,0.0679,3,854,0.2013,219,322,10,2.0307,9.643,0.2082,385,2171,0.7147,medium
31,116,116,0.0492,3,1222,0.1743,204,273,9,1.7227,5.495,0.0971,441,1136,0.6953,medium
35,128,168,0.0713,5,2421,0.2969,125,112,18,2.231,11.4124,0.3752,591,1521,0.3322,high
51,97,82,0.0101,1,796,0.0578,307,381,10,1.4623,5.4583,0.0628,268,3749,0.7666,low
30,195,154,0.116,10,1886,0.2734,118,174,17,2.5485,11.1009,0.3205,479,633,0.4178,high
33,161,171,0.1287,7,2725,0.3666,112,145,13,4.6797,9.3721,0.3669,680,1314,0.3735,high
33,165,128,0.1046,6,1678,0.2453,149,182,19,2.2401,10.6217,0.3256,676,1002,0.3393,high
65,71,70,0.0017,2,930,0.0926,345,486,9,0.5614,4.3559,0.0665,327,3226,0.7557,low
38,108,90,0.0587,5,1391,0.205,236,255,8,2.2234,10.9366,0.1556,473,2191,0.4951,medium
55,146,127,0.0517,3,1514,0.1749,211,270,11,2.0174,9.3775,0.101,478,2897,0.63,medium
13,137,106,0.1138,5,2341,0.3462,131,120,16,2.2692,15.0221,0.3452,759,1286,0.4058,high
43,88,86,0.0593,2,1411,0.2068,220,275,14,2.2911,8.1383,0.1637,240,2594,0.7427,medium
45,95,80,0.0257,1,688,0.0766,368,394,10,0.9586,4.1734,0.0862,295,2841,0.9065,low
46,142,89,0.0757,2,1721,0.0904,221,222,17,2.7383,10.0607,0.2301,459,1236,0.5939,medium
53,71,80,0.0127,1,937,0.0755,270,450,9,0.8199,6.9215,0.0793,290,2466,0.8198,low
49,131,126,0.0677,4,1388,0.172,263,249,13,2.0845,9.5279,0.1637,395,1894,0.724,medium
23,158,121,0.1356,9,1995,0.3856,95,184,19,4.2804,14.5639,0.3694,794,1059,0.4754,high
64,79,72,0.0208,1,582,0.1088,348,517,8,0.9253,3.5226,0.0299,274,2900,0.8113,low
13,132,170,0.1214,6,3018,0.3745,144,194,18,3.7902,15.8405,0.3884,677,1343,0.3432,high
15,207,176,0.0853,6,2622,0.3414,67,181,10,2.8807,14.391,0.3811,759,1008,0.3726,high
51,133,110,0.079,4,1102,0.1776,225,277,10,1.6776,12.3842,0.1731,396,2743,0.5699,medium
41,122,130,0.0663,4,1351,0.2049,230,226,16,2.9997,7.3268,0.2002,566,2212,0.7332,medium
40,147,110,0.0534,4,1418,0.1892,195,284,14,1.9106,13.0796,0.1535,437,1408,0.6492,medium
27,182,148,0.108,7,2723,0.2761,145,127,12,3.3551,11.7908,0.3482,762,1101,0.4062,high
19,154,168,0.083,5,2145,0.3095,92,159,13,3.7704,16.2614,0.272,543,1288,0.4204,high
61,96,73,0.005,2,589,0.0794,303,446,8,1.0502,2.5306,0.0715,240,2829,0.8458,low
14,170,174,0.1199,6,1975,0.3043,110,114,14,2.9412,12.9157,0.244,670,1092,0.3334,high
29,172,125,0.1167,7,1675,0.2864,135,73,20,3.5308,4.8642,0.3193,529,953,0.5713,high
18,145,169,0.0815,9,1599,0.3523,117,216,20,3.1937,10.8596,0.3316,670,890,0.4959,high
26,131,151,0.1067,6,2251,0.3809,116,62,16,2.7667,16.6542,0.4334,635,1029,0.4576,high
24,141,193,0.1301,4,2383,0.384,105,127,18,3.5087,16.0882,0.2937,660,1217,0.3997,high
46,141,103,0.0541,3,2038,0.1732,268,283,17,2.3606,12.2178,0.1823,437,2958,0.7456,medium
33,153,145,0.096,5,2512,0.3942,165,121,17,3.7983,13.7487,0.2732,614,1000,0.4341,high
27,95,92,0.1492,8,1868,0.394,91,148,11,1.8079,15.3977,0.4195,611,1245,0.2319,high
69,100,86,0.02,0,501,0.0694,315,464,9,1.0928,4.7819,0.0765,312,3618,0.7094,low
53,107,78,0.0274,1,993,0.084,333,460,7,1.4316,2.2394,0.0655,332,3527,0.7969,low
35,127,96,0.0714,3,1284,0.1779,201,278,10,2.4181,8.3434,0.1765,421,2038,0.6082,medium
15,195,181,0.1574,6,1941,0.3777,172,229,23,3.4643,5.2218,0.2033,547,1003,0.6624,high
39,119,93,0.059,2,767,0.122,219,264,12,2.0922,7.5458,0.13,339,1942,0.5576,medium
75,102,75,0.0172,2,814,0.0331,370,453,5,0.5997,5.1638,0.0912,254,3436,0.8108,low
38,181,160,0.0806,7,1961,0.3684,122,96,22,3.4315,15.0019,0.2988,547,928,0.2878,high
62,104,67,0.0101,2,745,0.0625,296,436,6,0.746,2.6912,0.0529,347,2897,0.7886,low
69,102,85,0.0256,1,816,0.1152,293,384,9,0.5985,2.9934,0.0535,289,3106,0.8267,low
22,140,185,0.1724,6,1927,0.3089,156,159,25,3.554,13.8985,0.2698,601,947,0.3052,high
45,94,115,0.0525,4,1494,0.192,207,326,11,1.3089,11.8227,0.0941,368,2340,0.558,medium
17,176,134,0.1179,7,2913,0.372,163,179,26,3.7717,12.7264,0.2904,586,971,0.5352,high
25,151,144,0.0852,8,2501,0.3048,161,165,29,4.0339,14.1268,0.2932,534,1078,0.5275,high
42,115,102,0.0415,5,1206,0.1713,210,260,7,2.344,9.4971,0.1762,405,1817,0.4844,medium
28,146,151,0.1176,9,1869,0.2361,127,195,19,3.3594,11.161,0.4283,537,1216,0.2975,high
23,148,124,0.1384,8,1247,0.3752,135,202,19,3.809,15.6014,0.3459,559,1328,0.5394,high
53,95,118,0.0391,4,1260,0.1764,209,334,7,1.5975,8.7456,0.2112,417,2192,0.5852,medium
54,123,96,0.054,4,1329,0.1386,228,327,8,2.0349,9.3138,0.1246,341,2765,0.5824,medium
61,78,84,0.0245,2,794,0.0668,336,501,7,0.8022,4.0255,0.0864,382,4089,0.8744,low
28,135,147,0.1305,6,1329,0.2538,163,160,16,2.2418,19.0009,0.3511,877,978,0.5225,high
27,155,132,0.1115,7,1829,0.3608,158,178,22,2.5911,13.9943,0.4194,509,896,0.3514,high
60,76,79,0.0183,1,683,0.0671,331,521,8,1.4522,7.194,0.0685,294,2895,0.7982,low
74,86,97,0.0161,2,891,0.0682,358,421,9,0.9871,5.1001,0.0629,340,3120,0.8437,low
26,131,173,0.0777,6,2436,0.3546,118,139,13,3.0469,9.3448,0.3391,678,995,0.4879,high
58,105,98,0.0211,2,1068,0.079,259,428,3,1.176,5.9497,0.1135,338,2987,0.8075,low
26,167,127,0.1165,8,1594,0.3703,155,121,18,4.1867,13.3675,0.2945,780,1285,0.2574,high
35,139,105,0.0417,3,1062,0.1601,200,181,12,1.9571,10.0336,0.126,435,1727,0.5534,medium
29,131,149,0.1025,8,2153,0.4151,105,101,20,2.5952,15.0015,0.2854,586,1166,0.3528,high
22,173,138,0.1108,6,1919,0.3633,88,148,20,3.453,11.0521,0.2482,996,1014,0.379,high
38,93,115,0.0441,3,1235,0.1498,183,300,10,1.5762,6.6273,0.1752,446,2750,0.6662,medium
26,141,135,0.1351,6,3003,0.2774,148,89,20,3.2495,13.1257,0.3103,163,986,0.5259,high
26,129,86,0.0522,4,1116,0.2008,235,344,11,1.2028,7.667,0.1513,334,2188,0.5826,medium
28,132,158,0.0994,7,1865,0.3366,142,197,17,3.9256,15.8419,0.3055,597,973,0.4323,high
65,93,79,0.01,0,937,0.0599,316,351,5,0.9356,6.479,0.0844,305,3103,0.8532,low
65,92,82,0.0219,1,1042,0.051,328,329,9,0.4977,5.5884,0.0717,287,3054,0.7864,low
35,158,147,0.0844,7,1983,0.2771,145,198,16,2.8334,14.5202,0.3221,767,1337,0.4304,high
42,93,107,0.0635,3,1521,0.1598,227,377,15,1.3839,7.4814,0.0881,396,2064,0.6409,medium
38,108,112,0.0492,3,1245,0.1819,208,252,12,1.1192,4.8629,0.1986,366,2638,0.795,medium
63,117,68,0.0222,1,913,0.0749,311,397,8,0.7478,5.1398,0.052,227,2774,0.793,low
53,116,100,0.036,4,1645,0.1481,269,377,18,1.5756,5.0291,0.1727,285,1750,0.6777,medium
41,128,81,0.0551,4,1480,0.2129,219,279,10,2.7821,8.8078,0.175,385,1526,0.5924,medium
22,151,200,0.1576,7,1512,0.4233,133,149,23,2.9458,21.3473,0.3038,576,916,0.3728,high
35,96,92,0.0642,4,918,0.1773,237,289,10,2.0745,12.7911,0.1725,412,965,0.7127,medium
45,118,126,0.0489,4,1549,0.1736,160,275,11,1.709,10.7981,0.154,414,1963,0.6877,medium
49,81,97,0.0753,2,1795,0.1506,256,232,12,2.0812,8.4009,0.1437,426,1799,0.674,medium
23,151,163,0.1258,7,2252,0.3831,98,175,14,4.7236,12.0714,0.2942,659,614,0.4693,high
31,179,150,0.1222,8,2119,0.3055,98,139,18,2.1669,12.3836,0.3091,639,1500,0.5605,high
30,149,158,0.0902,10,2705,0.268,97,187,9,2.2315,15.0162,0.4232,593,1127,0.4953,high
30,137,160,0.0658,7,1894,0.1534,83,207,23,2.5959,18.0017,0.3707,546,1148,0.3672,high
17,149,135,0.1058,7,1799,0.3212,117,147,20,2.3154,17.2595,0.4559,595,1609,0.3867,high
30,132,148,0.085,7,1742,0.2914,136,168,11,3.0669,20.0873,0.2696,580,976,0.412,high
43,101,118,0.0553,2,1801,0.2049,229,245,12,1.643,5.8769,0.1805,391,1850,0.6158,medium
44,118,98,0.0432,3,1348,0.2486,207,285,7,1.9033,10.4861,0.1443,486,2498,0.594,medium
59,85,70,0.0189,2,763,0.1289,322,482,5,0.4946,4.8182,0.0702,235,3359,0.8629,low
22,170,150,0.1007,7,2391,0.3764,106,180,13,2.3225,15.0287,0.3654,686,1091,0.4646,high
45,113,83,0.0542,5,1100,0.2294,216,321,11,1.7009,12.5455,0.2069,300,1232,0.6504,medium
44,133,123,0.0319,3,1204,0.1806,154,252,12,1.2414,7.4255,0.1579,594,1717,0.6854,medium
37,140,101,0.0579,3,1499,0.1112,182,283,10,1.1298,10.325,0.1762,407,2338,0.6217,medium
59,109,83,0.0109,2,688,0.0735,353,495,11,0.629,6.372,0.0697,289,2759,0.8477,low
60,141,104,0.0554,3,953,0.1265,226,299,10,2.4299,8.2247,0.1952,489,1842,0.622,medium
34,144,129,0.1155,6,1585,0.3996,143,216,16,3.9527,14.5527,0.4278,650,735,0.3358,high
23,121,147,0.0945,5,2263,0.2434,104,22,20,3.2984,16.3554,0.3363,766,1471,0.3301,high
32,152,138,0.1208,8,2292,0.3952,133,175,21,3.0866,13.1882,0.3974,778,935,0.4132,high
51,116,90,0.0299,4,1353,0.2548,167,208,11,2.2625,8.4878,0.1748,411,2158,0.6547,medium
39,151,116,0.0725,3,1252,0.198,196,275,8,1.483,9.6989,0.1935,495,2614,0.6755,medium
38,160,84,0.0644,4,1758,0.1557,203,235,14,0.5841,7.8769,0.1501,367,2057,0.5503,medium
22,186,141,0.1485,5,2015,0.2564,90,150,19,3.3937,17.7829,0.2915,800,1204,0.401,high
39,126,109,0.044,3,1344,0.1379,217,243,15,0.9885,11.9314,0.2269,412,3097,0.6948,medium
26,193,125,0.1239,8,1653,0.33,92,97,16,3.1264,15.4689,0.3593,598,1115,0.5515,high
47,116,98,0.0656,5,1553,0.1668,185,375,11,2.3948,8.9411,0.1561,379,1870,0.6488,medium
41,112,99,0.0654,5,1262,0.2193,206,329,12,1.6349,8.4232,0.1939,582,1911,0.6815,medium
69,85,72,0.0284,1,912,0.0782,337,350,5,1.4948,7.3409,0.0389,274,2153,0.7984,low
45,130,93,0.0841,4,1391,0.2063,228,327,14,2.3579,13.1264,0.1744,350,1647,0.6276,medium
45,142,154,0.127,6,2160,0.3508,164,129,4,3.0175,14.1165,0.3704,693,1454,0.4592,high
66,76,77,0.0234,2,778,0.0858,312,432,10,0.3747,7.3137,0.0791,344,3340,0.8272,low
27,190,161,0.1237,8,1892,0.2894,52,186,15,4.0638,9.3327,0.3756,748,1085,0.4573,high
25,160,111,0.145,9,2585,0.3333,154,128,17,2.9752,11.0928,0.3373,341,741,0.4898,high
58,119,89,0.0218,1,846,0.067,284,418,8,1.2806,4.1068,0.0647,218,3207,0.7744,low
31,146,121,0.1372,9,2515,0.294,146,190,16,2.6969,14.6056,0.3647,645,1198,0.2982,high
25,171,138,0.0792,7,2123,0.3784,130,86,14,3.7514,11.9977,0.2933,666,997,0.3809,high
73,68,79,0.0265,1,999,0.0668,297,354,11,0.3488,7.6532,0.069,259,3151,0.8013,low
31,180,135,0.1115,7,2249,0.2144,110,204,22,2.6187,14.3565,0.3589,745,1201,0.4988,high
50,81,92,0.0222,1,705,0.1246,247,468,6,0.3498,4.9694,0.0695,304,4166,0.8547,low
32,152,124,0.0976,6,2433,0.3091,103,175,18,3.4722,13.2394,0.2675,190,1275,0.4897,high
